date,tavg
2026-06-28,25.0
2026-06-29,25.1
2026-06-30,25.9
2026-07-01,26.9
2026-07-02,25.5
2026-07-03,25.3
2026-07-04,25.9
2026-07-05,25.4
2026-07-06,26.5
2026-07-07,28.2
2026-07-08,25.8
2026-07-09,24.2
2026-07-10,26.3
2026-07-11,28.8
2026-07-12,30.5
2026-07-13,30.4
2026-07-14,29.0
2026-07-15,25.4
2026-07-16,26.0
2026-07-17,27.3
2026-07-18,27.1
2026-07-19,25.4
2026-07-20,24.9
2026-07-21,26.1
2026-07-22,26.4
2026-07-23,28.2
2026-07-24,28.8
2026-07-25,29.1
2026-07-26,29.2
2026-07-27,28.9
2026-07-28,28.5
2026-07-29,28.3
2026-07-30,28.1
2026-07-31,28.8
2026-08-01,29.7
2026-08-02,30.3
2026-08-03,30.3
2026-08-04,31.5
2026-08-05,31.7
2026-08-06,32.3
2026-08-07,32.5
2026-08-08,31.6
2026-08-09,28.5
2026-08-10,29.2
2026-08-11,28.3
2026-08-12,26.7
2026-08-13,27.7
2026-08-14,28.0
2026-08-15,27.7
2026-08-16,25.0
2026-08-17,25.2
2026-08-18,27.0
2026-08-19,27.3
2026-08-20,26.8
2026-08-21,26.4
2026-08-22,24.8
2026-08-23,28.0
2026-08-24,28.4
2026-08-25,28.1
2026-08-26,28.0
2026-08-27,28.0
2026-08-28,27.5
2026-08-29,27.5
2026-08-30,26.8
2026-08-31,24.9
2026-09-01,23.3
2026-09-02,24.6
2026-09-03,26.1
2026-09-04,25.9
2026-09-05,24.7
2026-09-06,24.7
2026-09-07,24.2
2026-09-08,24.6
2026-09-09,22.6
2026-09-10,19.3
2026-09-11,20.2
2026-09-12,20.8
2026-09-13,21.5
2026-09-14,21.7
2026-09-15,19.7
2026-09-16,20.6
2026-09-17,23.1
2026-09-18,24.4
2026-09-19,24.5
2026-09-20,23.5
